BUNDLE,PART-NAME,PART-NUM,LOT-NUM,QUANTITY
6230,White Tape,"3m SUPER 20 .380""",DXN112153 55082,1
6230,Lace Tie,bms13-54HGBTIC1FC85/14WH,DXN113066 55816,1
6230,#10 Red Lug,bact12AC3,DXN112118 639601 C,5
6230,#10 Blue Lug,bact12AC8,BASN115270 092432,3
6230,Red Contact,s280w555-920,MMA115313 089035,3
6230,Blue Contact,s280w555-916,DXN113339 084582,1
6230,#10 High Temp Lug,bact12M4,DXN108452 254461,1
6230,Red 9 Splice,d-609-06,DXN116246 671809,7
6230,Red Moisture Sleeve,d-436-0096,DXN116926 WHKB02,7
6230,Blue 9 Splice,d-609-07,DXN116194 SSXU02,1
6230,Blue Moisture Sleeve,d-436-0097,DXN116926 WHKB03 B,1
6230,6230 Big Splice,d-436-26,DXN114462 A1EXDG B,1
6230,TFE 4X 0.25in (VL),m23053/12-504-C,DXN104027 46403,1
6230,Solder Sleeve 3-20awg,bacs13CT3C,DXN113325 847223,2
6230,Solder Sleeve 3-18awg,bacs13CT3D,DXN110614 906513,1
6230,Jumper Wire 20awg,bms13-48T10C01G020,BC108133 940001 I,2
6230,#1 Coil Spacer,bacs18AY1,DXN115710 041602,20
6230,#2 Coil Spacer,bacs18AY2,DXN111803 071102,10
6230,#3 Coil Spacer,bacs18AY3,DXN113594 903001,6
6230,#4 Coil Spacer,bacs18AY4,DXN113530 082302,4
6230,#5 Coil Spacer,bacs18AY5,DXN116374 624005,2
6230,Tedlar Tape Bundle ID,ttvf1529YW2.5,DXN109790 NDEQ04,3
5104,White Tape,"3m SUPER 20 .380""",DXN112153 55082,1
5104,Lace Tie,bms13-54HGBTIC1FC85/14WH,DXN113066 55816,1
5104,#10 Red Lug,bact12AC3,DXN112118 639601 C,7
5104,#10 Blue Lug,bact12AC8,BASN115270 092432,3
5104,Blue Contact,s280w555-916,DXN113339 084582,1
5104,#10 High Temp Lug,bact12M4,DXN108452 254461,1
5104,Red 9 Splice,d-609-06,DXN116246 671809,7
5104,Red Moisture Sleeve,d-436-0096,DXN116926 WHKB02,7
5104,Yellow 9 Splice,d-609-08,DXN116227 472901,1
5104,Yellow Moisture Sleeve,d-436-0098,DXN111052 209203,1
5104,5104 Big Splice,d-436-0146,DXN112156 499208,1
5104,TFE 4X 0.25in (VL),m23053/12-504-C,DXN104027 46403,1
5104,Solder Sleeve 3-18awg,bacs13CT3D,DXN110614 906513,3
5104,Solder Sleeve 3-N,bacs13CT3N,DXN114184 917311,7
5104,Jumper Wire 20awg,bms13-48T10C01G020,BC108133 940001 I,2
5104,Jumper Wire 18awg,55pc6121-18-900,BC90927 498246,8
5104,#1 Coil Spacer,bacs18AY1,DXN115710 041602,13
5104,#2 Coil Spacer,bacs18AY2,DXN111803 071102,10
5104,#3 Coil Spacer,bacs18AY3,DXN113594 903001,3
5104,#4 Coil Spacer,bacs18AY4,DXN113530 082302,4
5104,#5 Coil Spacer,bacs18AY5,DXN116374 624005,2
5104,Tedlar Tape Bundle ID,ttvf1529YW2.5,DXN109790 NDEQ04,3
