BUNDLE,TEDLAR,1_16,3_32,1_8,3_16,1_4,3_8,1_2,BUNDLE-ID
2031,1,,,,1,,,1,
2401,1,,,,,,,1,1
3755,1,1,1,1,1,1,,,
3910,1,1,1,,1,,1,1,
4477,1,,1,1,1,1,,,
4479,1,,,,1,,1,,1
4649,1,,,,1,,,,1
3763,1,,,,,,1,,1
5104,1,,1,1,1,1,1,,
5110,1,,1,1,,,,,
5112,1,,,1,1,,,,
5162,1,1,1,1,1,1,,,
5184,1,,,1,,,,,1
5174,1,,,1,,,,,
5176,1,,1,1,,,,,
5248,1,,,1,,,,,
5337,1,,,1,,,,,
5367,1,,1,,1,1,,1,1
5375,1,,1,1,1,,1,1,3
5433,1,1,1,1,1,,,,
5461,1,,,1,1,,,,
5463,1,,1,1,,,,,
5526,1,,1,1,,1,,,1
5580,1,,1,,,,,,
5602,1,,,,1,,,,1
5610,1,1,1,1,,,,,
6102,1,,,1,,,,,
6103,1,,,1,,,,,
6201,1,,,1,,,,,
6212,1,1,1,1,1,1,1,,
6230,1,,1,1,1,1,,1,
6528,1,,1,1,1,1,,,2
7592,1,,,,,1,1,,1
7594,1,,,,,,,1,1
