3/8 Heat Shrink,M23053/5-107-4,DXN116083 185199,
3/16 Heat Shrink,M23053/5-105-4,DXN112247 798290,
3/32 Heat Shrink,M23053/5-103-4,DXN117051 187405 A,
5104 Big Splice,D-436-0146,DXN112156 499208,
6230 Big Splice,D-436-26,DXN117182 165211,
Blue 9 Splice,D-609-07,DXN115994 348556,
Blue Contact,S280W555-916,BASN115312 879822 B,
Blue Moisture Sleeve,D-436-0097,DXN117382 YTIH02 B,
Jumper Wire 18awg,55PC6121-18-900,DXN118019 2YNW02,
Jumper Wire 20awg,BMS13-48T10C01G020,BC116418 120002 AA,
Red 9 Splice,D-609-06,BASN115151 094350,
Red Contact,S280W555-920,BASN115313 095855,
Red Moisture Sleeve,D-436-0096,DXN117829 TEQ03,
Solder Sleeve 3-18awg,BACS13CT3D,DXN118122 096874,
Solder Sleeve 3-20awg,BACS13CT3C,DXN116952 092444,
Solder Sleeve 3-N,BACS13CT3N,DXN114184 917311,
TFE 4X 0.25in (VL),M23053/12-504-C,DXN104027 46403,
Tedlar Tape,TTVF1529YW2.5,DXN109790 NDEQ07,
Yellow 9 Splice,D-609-08,DXN116954 606803 A,
Yellow Moisture Sleeve,D-436-0098,DXN117416 468601,
#1 Coil Spacer,BACS18AY1,DXN116653 092301,
#2 Coil Spacer,BACS18AY2,DXN116921 100301,
#3 Coil Spacer,BACS18AY3,DXN116921 112407,
#4 Coil Spacer,BACS18AY4,DXN116656 020001,
#5 Coil Spacer,BACS18AY5,DXN112024 071003,
#10 Blue Lug,BACT12AC8,BASN115270 095321,
#10 High Temp Lug,BACT12M4,DXN116956 1WK502 B,
#10 Red Lug,BACT12AC3,DXN112118 639602 C,
